trial,epoch,winRate,tieRate
9,14,0.86,0.08
9,16,0.88,0.12
9,18,0.88,0.08
9,20,0.94,0.04
9,22,0.88,0.12
9,24,0.9,0.1
9,26,0.94,0.06
9,28,0.86,0.1
9,30,0.98,0.02
9,32,0.92,0.04
9,34,0.92,0.04
9,36,0.86,0.14
9,38,0.92,0.08
9,40,0.92,0.06
9,42,0.94,0.04
9,44,0.86,0.1
9,46,0.92,0.02
9,48,0.8,0.2
10,0,0.46,0.0
10,2,0.88,0.1
10,4,0.0,0.94
10,6,0.36,0.0
10,8,0.4,0.0
10,10,0.9,0.06
10,12,0.92,0.08
10,14,1.0,0.0
10,16,0.94,0.04
10,18,0.56,0.0
10,20,0.9,0.1
10,22,0.98,0.02
10,24,0.82,0.16
10,26,0.88,0.1
10,28,0.9,0.08
10,30,0.8,0.18
10,32,0.88,0.1
10,34,0.96,0.04
10,36,0.9,0.1
10,38,0.96,0.02
10,40,0.84,0.1
10,42,0.92,0.08
10,44,0.88,0.1
10,46,0.94,0.06
10,48,0.9,0.06
11,0,0.42,0.0
11,2,0.26,0.0
11,4,0.9,0.06
11,6,0.56,0.0
11,8,0.0,0.88
11,10,0.0,0.94
11,12,0.28,0.0
11,14,0.54,0.0
11,16,0.58,0.0
11,18,0.58,0.0
11,20,0.46,0.0
11,22,0.96,0.04
11,24,0.9,0.08
11,26,0.9,0.06
11,28,0.9,0.1
11,30,0.9,0.02
11,32,0.94,0.06
11,34,0.9,0.06
11,36,0.88,0.12
11,38,0.86,0.08
11,40,0.9,0.1
11,42,0.86,0.12
11,44,0.9,0.06
11,46,0.9,0.08
11,48,0.94,0.04
12,0,0.34,0.0
12,2,0.92,0.08
12,4,0.94,0.06
12,6,0.42,0.0
12,8,0.96,0.02
12,10,0.92,0.08
12,12,0.38,0.0
12,14,0.48,0.0
12,16,0.0,0.92
12,18,0.46,0.0
12,20,0.58,0.0
12,22,0.56,0.0
12,24,0.58,0.0
12,26,0.78,0.18
12,28,0.84,0.1
12,30,0.92,0.08
12,32,0.9,0.08
12,34,0.9,0.08
12,36,0.86,0.12
12,38,0.96,0.04
12,40,0.94,0.06
12,42,0.92,0.08
12,44,0.98,0.0
12,46,0.84,0.1
12,48,0.94,0.02
13,0,0.9,0.1
13,2,0.36,0.0
13,4,0.92,0.06
13,6,0.24,0.0
13,8,0.28,0.0
13,10,0.0,0.84
13,12,0.88,0.08
13,14,0.86,0.1
13,16,0.92,0.08
13,18,0.9,0.08
13,20,0.32,0.0
13,22,0.92,0.08
13,24,0.9,0.06
13,26,0.54,0.0
13,28,0.92,0.04
13,30,0.9,0.06
13,32,0.88,0.12
13,34,0.88,0.12
13,36,0.92,0.06
13,38,0.96,0.02
13,40,0.92,0.06
13,42,0.96,0.04
13,44,0.94,0.04
13,46,0.84,0.12
13,48,0.86,0.1
14,0,0.6,0.0
14,2,0.0,0.86
14,4,0.32,0.0
14,6,0.38,0.0
14,8,0.92,0.06
14,10,0.44,0.0
14,12,0.88,0.12
14,14,0.82,0.14
14,16,0.52,0.0
14,18,0.46,0.0
14,20,0.92,0.06
14,22,0.92,0.06
14,24,0.92,0.06
14,26,0.88,0.04
14,28,0.94,0.06
14,30,0.94,0.04
14,32,0.9,0.06
14,34,0.84,0.12
14,36,0.78,0.12
14,38,0.92,0.06
14,40,0.86,0.14
14,42,0.88,0.1
14,44,0.92,0.08
14,46,0.92,0.06
14,48,0.82,0.12
15,0,0.9,0.08
15,2,0.56,0.0
15,4,0.88,0.12
15,6,0.94,0.04
15,8,0.96,0.04
15,10,0.0,0.82
15,12,0.0,0.88
15,14,0.0,0.86
15,16,0.32,0.0
15,18,0.0,0.9
15,20,0.0,0.86
15,22,0.92,0.06
15,24,0.98,0.0
15,26,0.9,0.08
15,28,0.86,0.14
15,30,0.86,0.12
15,32,0.88,0.1
15,34,0.9,0.02
15,36,0.86,0.12
15,38,0.9,0.08
15,40,0.92,0.08
15,42,0.94,0.04
15,44,0.9,0.1
15,46,0.88,0.06
15,48,0.88,0.08
16,0,0.0,0.94
16,2,0.0,0.9
16,4,0.0,0.8
16,6,0.0,0.88
16,8,0.0,0.84
16,10,0.0,0.92
16,12,0.0,0.9
16,14,0.0,0.88
16,16,0.0,0.84
16,18,0.0,0.94
16,20,0.0,0.94
16,22,0.0,0.84
16,24,0.0,0.94
16,26,0.0,0.9
16,28,0.0,0.78
16,30,0.0,0.92
16,32,0.0,0.92
16,34,0.0,0.84
16,36,0.0,0.88
16,38,0.0,0.92
16,40,0.0,0.88
16,42,0.0,0.94
16,44,0.0,0.88
16,46,0.0,0.88
16,48,0.0,0.96
17,0,0.0,0.82
17,2,0.62,0.0
17,4,0.6,0.0
17,6,0.92,0.08
17,8,0.0,0.92
17,10,0.96,0.04
17,12,0.58,0.0
17,14,0.62,0.0
17,16,0.58,0.0
17,18,0.3,0.0
17,20,0.58,0.0
17,22,0.9,0.06
17,24,0.9,0.08
17,26,0.92,0.06
17,28,1.0,0.0
17,30,0.92,0.06
17,32,0.9,0.08
17,34,0.88,0.08
17,36,0.84,0.14
17,38,0.86,0.08
17,40,0.9,0.1
17,42,0.9,0.08
17,44,0.92,0.06
17,46,0.94,0.04
17,48,0.9,0.08
18,0,0.24,0.0
18,2,0.88,0.06
18,4,0.64,0.0
18,6,0.92,0.06
18,8,0.92,0.06
18,10,0.88,0.1
18,12,0.96,0.02
18,14,0.9,0.1
18,16,0.88,0.12
18,18,0.88,0.1
18,20,0.9,0.08
18,22,0.9,0.1
18,24,0.92,0.06
18,26,0.86,0.1
18,28,0.88,0.12
18,30,0.86,0.12
18,32,0.94,0.04
18,34,0.84,0.12
