trial,epoch,winRate,tieRate,lossRate,Defend,Defensive invade, Evasive invade, Hunt
2,0,0.0,0.925,0.075,1.0,0.0,0.0,0.0
2,2,0.0,0.85,0.15,1.0,0.0,0.0,0.0
2,4,0.175,0.75,0.075,0.0,0.0,0.0,1.0
2,6,0.05,0.0,0.95,0.0,0.0,1.0,0.0
2,8,0.225,0.0,0.775,0.0,1.0,0.0,0.0
2,10,0.2,0.0,0.8,0.0,1.0,0.0,0.0
2,12,0.325,0.0,0.675,0.0,1.0,0.0,0.0
2,14,0.275,0.0,0.725,0.0,1.0,0.0,0.0
2,16,0.225,0.0,0.775,0.0,1.0,0.0,0.0
2,18,0.225,0.0,0.775,0.0,1.0,0.0,0.0
2,20,0.35,0.0,0.65,0.0,1.0,0.0,0.0
2,22,0.25,0.0,0.75,0.0,1.0,0.0,0.0
2,24,0.25,0.0,0.75,0.0,1.0,0.0,0.0
2,26,0.275,0.0,0.725,0.0,1.0,0.0,0.0
3,0,0.3,0.0,0.7,0.0,1.0,0.0,0.0
3,2,0.2,0.775,0.025,0.0,0.0,0.0,1.0
3,4,0.125,0.0,0.875,0.0,0.0,1.0,0.0
3,6,0.275,0.7,0.025,6.110601894286587E-4,0.0,0.0,0.9993889398105713
3,8,0.15,0.825,0.025,2.799552071668533E-4,0.0,0.0,0.9997200447928332
3,10,0.2,0.0,0.8,0.0,1.0,0.0,0.0
3,12,0.0,0.925,0.075,1.0,0.0,0.0,0.0
3,14,0.425,0.0,0.575,0.0,1.0,0.0,0.0
3,16,0.0,0.9,0.1,1.0,0.0,0.0,0.0
3,18,0.0,0.9,0.1,1.0,0.0,0.0,0.0
3,20,0.0,0.9,0.1,1.0,0.0,0.0,0.0
3,22,0.2,0.7,0.1,0.0,0.0,0.0,1.0
3,24,0.225,0.75,0.025,0.0,0.0,0.0,1.0
3,26,0.25,0.75,0.0,0.0,0.0,0.0,1.0
4,0,0.325,0.0,0.675,0.0,1.0,0.0,0.0
4,2,0.425,0.0,0.575,0.0,1.0,0.0,0.0
4,4,0.275,0.725,0.0,0.0,0.0,0.0,1.0
4,6,0.075,0.0,0.925,0.0,0.0,1.0,0.0
4,8,0.2,0.775,0.025,0.0,0.0,0.0,1.0
4,10,0.225,0.775,0.0,0.0,0.0,0.0,1.0
4,12,0.15,0.8,0.05,0.0,0.0,0.0,1.0
4,14,0.225,0.725,0.05,0.0,0.0,0.0,1.0
4,16,0.2,0.775,0.025,0.0,0.0,0.0,1.0
4,18,0.225,0.75,0.025,0.0,0.0,0.0,1.0
4,20,0.125,0.85,0.025,0.0,0.0,0.0,1.0
4,22,0.225,0.775,0.0,0.0,0.0,0.0,1.0
4,24,0.175,0.775,0.05,0.0,0.0,0.0,1.0
4,26,0.15,0.8,0.05,0.0,0.0,0.0,1.0
5,0,0.35,0.0,0.65,0.0,1.0,0.0,0.0
5,2,0.275,0.725,0.0,0.0,0.0,0.0,1.0
5,4,0.25,0.725,0.025,0.0,0.0,0.0,1.0
5,6,0.175,0.0,0.825,0.0,0.0,1.0,0.0
5,8,0.275,0.7,0.025,0.0,0.0,0.0,1.0
5,10,0.1,0.9,0.0,0.0,0.0,0.0,1.0
5,12,0.15,0.725,0.125,0.0,0.0,0.0,1.0
5,14,0.275,0.725,0.0,0.0,0.0,0.0,1.0
5,16,0.2,0.775,0.025,0.0,0.0,0.0,1.0
5,18,0.225,0.7,0.075,0.0,0.0,0.0,1.0
5,20,0.225,0.775,0.0,0.0,0.0,0.0,1.0
5,22,0.15,0.75,0.1,0.0,0.0,0.0,1.0
5,24,0.125,0.825,0.05,0.0,0.0,0.0,1.0
5,26,0.325,0.625,0.05,0.0,0.0,0.0,1.0
6,0,0.25,0.0,0.75,0.0,1.0,0.0,0.0
6,2,0.2,0.7,0.1,0.0,0.0,0.0,1.0
6,4,0.25,0.725,0.025,0.0,0.0,0.0,1.0
6,6,0.0,0.95,0.05,1.0,0.0,0.0,0.0
6,8,0.125,0.85,0.025,0.0,0.0,0.0,1.0
6,10,0.3,0.6,0.1,0.0,0.0,0.0,1.0
6,12,0.0,0.9,0.1,1.0,0.0,0.0,0.0
6,14,0.2,0.75,0.05,0.0,0.0,0.0,1.0
6,16,0.125,0.825,0.05,0.0,0.0,0.0,1.0
6,18,0.225,0.75,0.025,0.0,0.0,0.0,1.0
6,20,0.1,0.775,0.125,0.0,0.0,0.0,1.0
6,22,0.225,0.7,0.075,0.0,0.0,0.0,1.0
6,24,0.2,0.775,0.025,0.0,0.0,0.0,1.0
6,26,0.25,0.7,0.05,0.0,0.0,0.0,1.0
7,0,0.225,0.75,0.025,0.0,0.0,0.0,1.0
7,2,0.05,0.0,0.95,0.0,0.0,1.0,0.0
7,4,0.4,0.0,0.6,0.0,1.0,0.0,0.0
7,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,8,0.075,0.875,0.05,0.0,0.0,0.0,1.0
7,10,0.15,0.775,0.075,0.0,0.0,0.0,1.0
7,12,0.325,0.0,0.675,0.0,1.0,0.0,0.0
7,14,0.275,0.0,0.725,0.0,1.0,0.0,0.0
7,16,0.175,0.775,0.05,0.0,0.0,0.0,1.0
7,18,0.125,0.8,0.075,0.0,0.0,0.0,1.0
7,20,0.275,0.7,0.025,0.0,0.0,0.0,1.0
7,22,0.275,0.725,0.0,0.0,0.0,0.0,1.0
7,24,0.2,0.775,0.025,0.0,0.0,0.0,1.0
7,26,0.1,0.9,0.0,0.0,0.0,0.0,1.0
8,0,0.0,0.925,0.075,1.0,0.0,0.0,0.0
8,2,0.2,0.0,0.8,0.0,1.0,0.0,0.0
8,4,0.05,0.925,0.025,0.0,0.0,0.0,1.0
8,6,0.175,0.825,0.0,0.0,0.0,0.0,1.0
8,8,0.225,0.75,0.025,0.0,0.0,0.0,1.0
8,10,0.225,0.725,0.05,0.0,0.0,0.0,1.0
8,12,0.175,0.7,0.125,0.0,0.0,0.0,1.0
8,14,0.125,0.825,0.05,0.0,0.0,0.0,1.0
8,16,0.325,0.6,0.075,0.0,0.0,0.0,1.0
8,18,0.175,0.8,0.025,0.0,0.0,0.0,1.0
8,20,0.3,0.65,0.05,0.0,0.0,0.0,1.0
8,22,0.175,0.825,0.0,0.0,0.0,0.0,1.0
8,24,0.175,0.775,0.05,0.0,0.0,0.0,1.0
8,26,0.15,0.8,0.05,0.0,0.0,0.0,1.0
9,0,0.15,0.0,0.85,0.0,1.0,0.0,0.0
9,2,0.15,0.825,0.025,0.0,0.0,0.0,1.0
9,4,0.075,0.0,0.925,0.0,0.0,1.0,0.0
9,6,0.175,0.8,0.025,0.0,0.0,0.0,1.0
9,8,0.0,0.975,0.025,1.0,0.0,0.0,0.0
9,10,0.175,0.825,0.0,0.0,0.0,0.0,1.0
9,12,0.15,0.825,0.025,0.0,0.0,0.0,1.0
9,14,0.225,0.7,0.075,0.0,0.0,0.0,1.0
9,16,0.2,0.725,0.075,0.0,0.0,0.0,1.0
9,18,0.225,0.75,0.025,0.0,0.0,0.0,1.0
9,20,0.225,0.75,0.025,0.0,0.0,0.0,1.0
9,22,0.175,0.775,0.05,0.0,0.0,0.0,1.0
9,24,0.15,0.8,0.05,0.0,0.0,0.0,1.0
9,26,0.05,0.9,0.05,0.0,0.0,0.0,1.0
10,0,0.15,0.8,0.05,0.0,0.0,5.667327854916407E-4,0.9994332672145083
10,2,0.175,0.775,0.05,0.0,0.0,0.0,1.0
10,4,0.125,0.0,0.875,0.0,0.0,1.0,0.0
10,6,0.325,0.0,0.675,0.0,1.0,0.0,0.0
10,8,0.175,0.8,0.025,0.0,0.0,0.0,1.0
10,10,0.225,0.75,0.025,0.0,0.0,0.0,1.0
10,12,0.15,0.85,0.0,0.0,0.0,0.0,1.0
10,14,0.25,0.675,0.075,0.0,0.0,0.0,1.0
10,16,0.15,0.85,0.0,0.0,0.0,0.0,1.0
10,18,0.2,0.8,0.0,0.0,0.0,0.0,1.0
10,20,0.3,0.675,0.025,0.0,0.0,0.0,1.0
10,22,0.175,0.825,0.0,0.0,0.0,0.0,1.0
10,24,0.175,0.8,0.025,0.0,0.0,0.0,1.0
10,26,0.275,0.725,0.0,0.0,0.0,0.0,1.0
11,0,0.1,0.0,0.9,0.0,0.0,1.0,0.0
11,2,0.35,0.0,0.65,0.0,1.0,0.0,0.0
11,4,0.225,0.0,0.775,0.0,1.0,0.0,0.0
11,6,0.0,0.775,0.225,1.0,0.0,0.0,0.0
11,8,0.275,0.5,0.225,0.0,0.0,0.0,1.0
11,10,0.025,0.7,0.275,0.0,0.0,0.0,1.0
11,12,0.15,0.65,0.2,0.0,0.0,0.0,1.0
11,14,0.175,0.625,0.2,0.0,0.0,0.0,1.0
11,16,0.125,0.6,0.275,0.0,0.0,0.0,1.0
11,18,0.2,0.525,0.275,0.0,0.0,0.0,1.0
11,20,0.175,0.625,0.2,0.0,0.0,0.0,1.0
11,22,0.125,0.5,0.375,0.0,0.0,0.0,1.0
11,24,0.125,0.625,0.25,0.0,0.0,0.0,1.0
11,26,0.175,0.525,0.3,0.0,0.0,0.0,1.0
12,0,0.0,0.675,0.325,1.0,0.0,0.0,0.0
12,2,0.15,0.575,0.275,0.0,0.0,0.0,1.0
12,4,0.125,0.7,0.175,0.0,0.0,0.0,1.0
12,6,0.2,0.775,0.025,0.0,0.0,0.0,1.0
12,8,0.125,0.85,0.025,0.0,0.0,0.0,1.0
12,10,0.15,0.825,0.025,0.0,0.0,0.0,1.0
12,12,0.125,0.825,0.05,0.0,0.0,0.0,1.0
12,14,0.15,0.825,0.025,0.0,0.0,0.0,1.0
12,16,0.125,0.85,0.025,0.0,0.0,0.0,1.0
12,18,0.15,0.775,0.075,0.0,0.0,0.0,1.0
12,20,0.275,0.65,0.075,0.0,0.0,0.0,1.0
12,22,0.2,0.75,0.05,0.0,0.0,0.0,1.0
12,24,0.175,0.775,0.05,0.0,0.0,0.0,1.0
12,26,0.125,0.85,0.025,0.0,0.0,0.0,1.0
13,0,0.275,0.0,0.725,0.0,1.0,0.0,0.0
13,2,0.075,0.0,0.925,0.0,0.0,1.0,0.0
13,4,0.25,0.7,0.05,0.0,0.0,0.0,1.0
13,6,0.175,0.825,0.0,0.0,0.0,0.0,1.0
13,8,0.075,0.9,0.025,0.0,0.0,0.0,1.0
13,10,0.1,0.8,0.1,0.0,0.0,0.0,1.0
13,12,0.175,0.775,0.05,0.0,5.603810591202018E-4,0.0,0.9994396189408798
13,14,0.125,0.85,0.025,0.0,0.0,0.0,1.0
13,16,0.225,0.7,0.075,0.0,2.892681515765114E-4,0.0,0.9997107318484235
13,18,0.225,0.75,0.025,0.0,6.007810153199159E-4,0.0,0.9993992189846801
13,20,0.275,0.7,0.025,0.0,8.650519031141869E-4,0.0,0.9991349480968859
13,22,0.225,0.775,0.0,0.0,8.675534991324465E-4,0.0,0.9991324465008675
13,24,0.2,0.7,0.1,0.0,3.1220730565095225E-4,0.0,0.999687792694349
13,26,0.075,0.85,0.075,0.0,0.0,0.0,1.0
14,0,0.025,0.0,0.975,0.0,0.0,1.0,0.0
14,2,0.0,0.925,0.075,1.0,0.0,0.0,0.0
14,4,0.25,0.725,0.025,0.0,0.0,0.0,1.0
14,6,0.25,0.725,0.025,0.0,0.0,0.0,1.0
14,8,0.2,0.0,0.8,0.0,1.0,0.0,0.0
14,10,0.35,0.625,0.025,0.0,0.0,0.0,1.0
14,12,0.275,0.725,0.0,0.0,0.0,0.0,1.0
14,14,0.175,0.8,0.025,0.0,0.0,0.0,1.0
14,16,0.175,0.825,0.0,0.0,0.0,0.0,1.0
14,18,0.175,0.8,0.025,0.0,0.0,0.0,1.0
14,20,0.225,0.725,0.05,0.0,0.0,0.0,1.0
14,22,0.175,0.775,0.05,0.0,0.0,0.0,1.0
14,24,0.2,0.775,0.025,0.0,0.0,0.0,1.0
14,26,0.125,0.825,0.05,0.0,0.0,0.0,1.0
15,0,0.275,0.0,0.725,0.0,1.0,0.0,0.0
15,2,0.075,0.0,0.925,0.0,0.0,1.0,0.0
15,4,0.3,0.675,0.025,0.0,0.0,0.0,1.0
15,6,0.175,0.825,0.0,0.0,0.0,0.0,1.0
15,8,0.125,0.85,0.025,0.0,0.0,0.0,1.0
15,10,0.0,0.95,0.05,1.0,0.0,0.0,0.0
15,12,0.0,0.975,0.025,1.0,0.0,0.0,0.0
15,14,0.0,0.925,0.075,1.0,0.0,0.0,0.0
15,16,0.0,0.9,0.1,1.0,0.0,0.0,0.0
15,18,0.0,0.95,0.05,1.0,0.0,0.0,0.0
15,20,0.0,0.925,0.075,1.0,0.0,0.0,0.0
15,22,0.0,0.925,0.075,1.0,0.0,0.0,0.0
15,24,0.0,0.775,0.225,1.0,0.0,0.0,0.0
15,26,0.0,0.85,0.15,1.0,0.0,0.0,0.0
16,0,0.15,0.5,0.35,0.0,0.0,0.0,1.0
16,2,0.225,0.0,0.775,0.0,1.0,0.0,0.0
16,4,0.2,0.775,0.025,0.0,0.0,0.0,1.0
16,6,0.0,0.9,0.1,1.0,0.0,0.0,0.0
16,8,0.0,0.975,0.025,1.0,0.0,0.0,0.0
16,10,0.0,0.9,0.1,1.0,0.0,0.0,0.0
16,12,0.0,0.7,0.3,1.0,0.0,0.0,0.0
16,14,0.2,0.475,0.325,0.0011029411764705882,0.0,0.0,0.9988970588235294
16,16,0.125,0.525,0.35,0.0,0.0,0.0,1.0
16,18,0.125,0.6,0.275,0.0,0.0,0.0,1.0
16,20,0.15,0.65,0.2,0.0,0.0,0.0,1.0
16,22,0.15,0.6,0.25,0.0,0.0,0.0,1.0
16,24,0.05,0.625,0.325,0.0,0.0,0.0,1.0
16,26,0.175,0.575,0.25,0.0,0.0,0.0,1.0
17,0,0.0,0.725,0.275,1.0,0.0,0.0,0.0
17,2,0.275,0.45,0.275,0.0,0.0,0.0,1.0
17,4,0.15,0.65,0.2,0.0,0.0,0.0,1.0
17,6,0.225,0.0,0.775,0.0,1.0,0.0,0.0
17,8,0.0,0.95,0.05,1.0,0.0,0.0,0.0
17,10,0.0,0.65,0.35,1.0,0.0,0.0,0.0
17,12,0.0,0.675,0.325,1.0,0.0,0.0,0.0
17,14,0.0,0.75,0.25,1.0,0.0,0.0,0.0
17,16,0.0,0.725,0.275,1.0,0.0,0.0,0.0
17,18,0.0,0.825,0.175,1.0,0.0,0.0,0.0
17,20,0.0,0.75,0.25,1.0,0.0,0.0,0.0
17,22,0.0,0.9,0.1,1.0,0.0,0.0,0.0
17,24,0.0,0.7,0.3,1.0,0.0,0.0,0.0
17,26,0.0,0.75,0.25,1.0,0.0,0.0,0.0
18,0,0.225,0.375,0.4,0.0,0.0,0.0,1.0
18,2,0.075,0.0,0.925,0.0,0.0,1.0,0.0
18,4,0.0,0.95,0.05,1.0,0.0,0.0,0.0
18,6,0.25,0.725,0.025,0.0,0.0,0.0,1.0
18,8,0.2,0.8,0.0,0.0,0.0,0.0,1.0
18,10,0.175,0.75,0.075,0.0,0.0,0.0,1.0
18,12,0.15,0.8,0.05,0.0,0.0,0.0,1.0
18,14,0.375,0.6,0.025,0.0,0.0,0.0,1.0
18,16,0.175,0.8,0.025,0.0,0.0,0.0,1.0
18,18,0.175,0.775,0.05,0.0,0.0,0.0,1.0
18,20,0.2,0.725,0.075,0.0,0.0,0.0,1.0
18,22,0.175,0.8,0.025,0.0,0.0,0.0,1.0
18,24,0.15,0.825,0.025,0.0,0.0,0.0,1.0
18,26,0.175,0.8,0.025,0.0,0.0,0.0,1.0
19,0,0.275,0.7,0.025,0.0,0.0,0.0,1.0
19,2,0.325,0.0,0.675,0.0,1.0,0.0,0.0
19,4,0.15,0.8,0.05,0.0,0.0,0.0,1.0
19,6,0.2,0.775,0.025,0.0,0.0,2.9437739181630853E-4,0.9997056226081837
19,8,0.225,0.75,0.025,0.0,0.0,0.0,1.0
19,10,0.25,0.75,0.0,0.0,0.0,0.0,1.0
19,12,0.275,0.7,0.025,0.0,0.0,0.0,1.0
19,14,0.275,0.675,0.05,0.0,0.0,0.0,1.0
19,16,0.175,0.825,0.0,0.0,0.0,0.0,1.0
19,18,0.275,0.65,0.075,0.0,0.0,0.0,1.0
19,20,0.35,0.625,0.025,0.0,0.0,0.0,1.0
19,22,0.2,0.775,0.025,0.0,0.0,0.0,1.0
19,24,0.2,0.75,0.05,0.0,0.0,0.0,1.0
19,26,0.225,0.725,0.05,0.0,0.0,0.0,1.0
20,0,0.225,0.775,0.0,0.0,2.9967036260113877E-4,0.0,0.9997003296373989
20,2,0.075,0.0,0.925,0.0,0.0,1.0,0.0
20,4,0.275,0.725,0.0,0.0,0.0,0.0,1.0
20,6,0.3,0.0,0.7,0.0,1.0,0.0,0.0
20,8,0.175,0.8,0.025,0.0,0.0,0.0,1.0
20,10,0.0,0.925,0.075,1.0,0.0,0.0,0.0
20,12,0.05,0.925,0.025,0.0,0.0,0.0,1.0
20,14,0.225,0.775,0.0,0.0,0.0,0.0,1.0
20,16,0.125,0.85,0.025,0.0,0.0,0.0,1.0
20,18,0.15,0.8,0.05,0.0,0.0,0.0,1.0
20,20,0.275,0.65,0.075,0.0,0.0,0.0,1.0
20,22,0.25,0.7,0.05,0.0,0.0,0.0,1.0
20,24,0.2,0.725,0.075,0.0,0.0,0.0,1.0
20,26,0.175,0.775,0.05,0.0,0.0,0.0,1.0
21,0,0.1,0.0,0.9,0.0,0.0,1.0,0.0
21,2,0.0,0.825,0.175,1.0,0.0,0.0,0.0
21,4,0.125,0.85,0.025,0.0,0.0,0.0,1.0
21,6,0.2,0.0,0.8,0.0,0.0,1.0,0.0
21,8,0.125,0.825,0.05,0.0,0.0,0.0,1.0
21,10,0.175,0.775,0.05,0.0,0.0,0.0,1.0
21,12,0.3,0.7,0.0,0.0,0.0,0.0,1.0
21,14,0.225,0.75,0.025,0.0,0.0,0.0,1.0
21,16,0.15,0.8,0.05,0.0,0.0,0.0,1.0
21,18,0.1,0.875,0.025,0.0,0.0,0.0,1.0
21,20,0.275,0.7,0.025,0.0,0.0,0.0,1.0
21,22,0.15,0.8,0.05,0.0,0.0,0.0,1.0
21,24,0.05,0.9,0.05,0.0,0.0,0.0,1.0
21,26,0.15,0.8,0.05,0.0,0.0,0.0,1.0
22,0,0.15,0.0,0.85,0.0,0.0,1.0,0.0
22,2,0.3,0.0,0.7,0.0,1.0,0.0,0.0
22,4,0.15,0.825,0.025,0.0,0.0,0.0,1.0
22,6,0.2,0.75,0.05,0.0,0.0,0.0,1.0
22,8,0.175,0.825,0.0,0.0,0.0,0.0,1.0
22,10,0.2,0.8,0.0,0.0,0.0,0.0,1.0
22,12,0.175,0.825,0.0,0.0,0.0,0.0,1.0
22,14,0.125,0.825,0.05,0.0,0.0,0.0,1.0
22,16,0.225,0.725,0.05,0.0,0.0,0.0,1.0
22,18,0.125,0.875,0.0,0.0,0.0,0.0,1.0
22,20,0.3,0.7,0.0,0.0,0.0,0.0,1.0
22,22,0.25,0.675,0.075,0.0,0.0,0.0,1.0
22,24,0.1,0.875,0.025,0.0,0.0,0.0,1.0
22,26,0.35,0.65,0.0,0.0,0.0,0.0,1.0
23,0,0.0,0.95,0.05,1.0,0.0,0.0,0.0
